par,config,tf,trades_total,trades_month,winrate,compuesto,final_eur,sharpe,sortino,max_dd,avg_frac
BTC/USDT,1h-w50,1h,129,10.8,64.3,21.0,1210.3,3.5271,0.7656,-1.6,0.198371
BTC/USDT,1h-w5,1h,339,28.2,60.5,37.4,1374.2,5.6177,2.2107,-2.1,0.190439
BTC/USDT,15m-w5,15m,1486,123.8,60.4,148.8,2487.6,10.1252,4.0622,-1.5,0.166989
BTC/USDT,15m-w5-FVG,15m,1446,120.5,59.5,115.9,2158.6,9.2438,3.6301,-1.5,0.15561
BTC/USDT,15m-MTF,15m,1479,123.2,60.6,155.9,2558.6,10.3293,4.1608,-1.5,0.16932
BTC/USDT,15m-w3,15m,2179,181.6,64.4,480.5,5805.1,16.7575,8.2072,-1.8,0.205816
ETH/USDT,1h-w50,1h,104,8.7,58.7,7.0,1069.7,2.6767,0.5828,-1.7,0.110844
ETH/USDT,1h-w5,1h,338,28.2,64.8,33.9,1338.9,5.9247,2.1474,-1.2,0.17303
ETH/USDT,15m-w5,15m,1498,124.8,62.7,162.5,2625.2,11.2202,4.1617,-2.0,0.161714
ETH/USDT,15m-w5-FVG,15m,1444,120.3,61.2,118.4,2183.7,10.1211,3.669,-1.8,0.147477
ETH/USDT,15m-MTF,15m,1481,123.4,63.2,177.7,2777.5,11.6025,4.2782,-2.1,0.166149
ETH/USDT,15m-w3,15m,2075,172.9,65.5,383.0,4829.8,15.5649,7.1534,-1.1,0.202876
SOL/USDT,1h-w50,1h,104,8.7,61.5,12.6,1125.9,3.1401,0.5276,-1.0,0.150963
SOL/USDT,1h-w5,1h,327,27.2,63.0,26.0,1260.3,5.6655,2.2699,-1.3,0.126496
SOL/USDT,15m-w5,15m,1496,124.7,64.6,348.1,4481.5,13.6699,5.5591,-1.7,0.199983
SOL/USDT,15m-w5-FVG,15m,1438,119.8,62.9,237.5,3375.3,12.2697,4.83,-2.2,0.183994
SOL/USDT,15m-MTF,15m,1482,123.5,65.1,376.2,4761.9,13.9701,5.6898,-1.8,0.204379
SOL/USDT,15m-w3,15m,2190,182.5,67.0,883.7,9836.7,19.5089,10.332,-1.4,0.223689
BNB/USDT,1h-w50,1h,144,12.0,60.4,16.9,1168.5,3.5968,0.8059,-1.2,0.146019
BNB/USDT,1h-w5,1h,321,26.8,60.1,16.4,1163.8,4.0621,1.374,-2.0,0.130961
BNB/USDT,15m-w5,15m,1443,120.2,62.1,169.4,2693.6,10.8809,4.1142,-1.9,0.171553
BNB/USDT,15m-w5-FVG,15m,1397,116.4,61.2,128.5,2285.2,9.7267,3.5504,-1.8,0.163836
BNB/USDT,15m-MTF,15m,1433,119.4,62.3,179.8,2797.7,11.1553,4.3351,-1.8,0.175455
BNB/USDT,15m-w3,15m,2094,174.5,64.2,456.1,5561.5,15.878,7.4123,-1.5,0.214383
XAUT/USDT,1h-w50,1h,105,8.8,62.9,12.9,1128.9,3.4666,0.6229,-1.1,0.142364
XAUT/USDT,1h-w5,1h,312,26.0,66.7,47.3,1472.7,6.788,2.7079,-1.5,0.21474
XAUT/USDT,15m-w5,15m,1492,124.3,63.9,223.2,3232.4,12.1837,4.5528,-1.8,0.182146
XAUT/USDT,15m-w5-FVG,15m,1443,120.2,63.3,158.6,2585.7,10.9177,3.8611,-1.9,0.168721
XAUT/USDT,15m-MTF,15m,1476,123.0,64.4,236.0,3360.4,12.4721,4.7021,-1.3,0.184985
XAUT/USDT,15m-w3,15m,2158,179.8,66.0,671.1,7711.0,18.1489,9.1026,-2.0,0.224173
LINK/USDT,1h-w50,1h,122,10.2,68.0,15.1,1150.5,4.7362,1.1137,-0.5,0.102913
LINK/USDT,1h-w5,1h,319,26.6,60.5,15.5,1154.7,4.289,1.4656,-1.5,0.117212
LINK/USDT,15m-w5,15m,1495,124.6,63.9,202.6,3026.1,12.4853,4.7669,-2.1,0.168911
LINK/USDT,15m-w5-FVG,15m,1435,119.6,63.5,165.3,2652.7,11.7295,4.3072,-1.7,0.164948
LINK/USDT,15m-MTF,15m,1480,123.3,64.3,215.6,3156.0,12.7345,4.8503,-2.2,0.172735
LINK/USDT,15m-w3,15m,2119,176.6,64.3,299.9,3999.4,15.093,6.7978,-1.9,0.182559
