rank,swing_window,max_hold,kelly_variant,require_fvg,use_choch_filter,sharpe,sortino,calmar,winrate,profit_factor,max_drawdown,trades_per_sym,compound_return,n_symbols
1,5,4,quarter_kelly,False,True,20.1723,10.3042,247.2657,68.87,3.3766,-0.81,2244.5,198.66,2
2,5,4,half_kelly,False,True,20.1683,10.2973,510.7407,68.87,3.3766,-1.54,2244.5,790.43,2
3,3,4,quarter_kelly,False,True,20.0498,10.5619,263.8754,67.35,3.1809,-0.73,2369.5,191.33,2
4,3,4,half_kelly,False,True,20.047,10.5463,516.2148,67.35,3.1809,-1.45,2369.5,746.18,2
5,10,4,quarter_kelly,False,True,18.0232,9.0152,193.1015,66.79,2.9709,-0.73,2122.5,139.52,2
6,10,4,half_kelly,False,True,18.0138,8.9998,329.5324,66.79,2.9709,-1.46,2122.5,473.01,2
7,10,8,quarter_kelly,False,True,12.7082,4.6254,100.6084,66.58,2.7264,-0.97,1273.5,96.06,2
8,10,8,half_kelly,False,True,12.6932,4.6143,151.7684,66.58,2.7264,-1.94,1273.5,288.69,2
9,3,8,quarter_kelly,False,True,12.3433,4.9428,90.9172,64.02,2.233,-0.92,1730.0,83.79,2
10,3,8,half_kelly,False,True,12.3347,4.9322,129.0781,64.02,2.233,-1.84,1730.0,236.61,2
11,5,8,quarter_kelly,False,True,11.47,4.4664,71.6916,63.02,2.2282,-1.0,1489.0,71.15,2
12,5,8,half_kelly,False,True,11.4597,4.4562,97.4022,63.02,2.2282,-1.98,1489.0,192.25,2
13,3,16,half_kelly,False,True,8.8298,3.2694,51.4594,58.61,1.8922,-2.34,1332.5,119.98,2
14,3,16,quarter_kelly,False,True,8.829,3.2839,41.4031,58.61,1.8922,-1.18,1332.5,48.48,2
15,5,16,quarter_kelly,False,True,7.2676,2.3166,28.2889,58.0,1.7933,-1.36,1091.5,38.58,2
16,5,16,half_kelly,False,True,7.2591,2.3068,33.5846,58.0,1.7933,-2.73,1091.5,91.45,2
17,10,16,quarter_kelly,False,True,7.0152,1.9243,24.787,59.96,1.9147,-1.46,835.5,35.29,2
18,10,16,half_kelly,False,True,7.0031,1.914,29.5212,59.96,1.9147,-2.9,835.5,83.33,2
