par,config,trades,trades_month,winrate,compuesto,final_eur,sharpe,sortino,max_dd,filtered,accepted,ml_accuracy,ml_f1
BTC/USDT,Sin ML (baseline),1437,119.8,60.6,68.7,1687.1,8.7577,3.0235,-1.3,0,1437,,
BTC/USDT,ML threshold=48%,61,5.1,42.6,-0.1,998.7,-0.9058,-0.0432,-0.2,5987,61,0.5738,0.0
BTC/USDT,ML threshold=52%,48,4.0,45.8,-0.1,998.8,-0.8804,-0.0375,-0.2,6031,48,0.625,0.4706
BTC/USDT,ML threshold=55%,37,3.1,40.5,-0.1,998.6,-0.9868,-0.0387,-0.2,6076,37,0.6216,0.3
ETH/USDT,Sin ML (baseline),1489,124.1,59.6,80.3,1802.7,9.3565,3.1802,-1.7,0,1489,,
ETH/USDT,ML threshold=48%,1286,107.2,59.8,78.9,1788.6,9.0247,2.914,-1.8,882,1286,0.5984,0.7488
ETH/USDT,ML threshold=52%,265,22.1,58.1,10.7,1106.7,3.9197,0.5725,-1.2,5313,265,0.4453,0.16
ETH/USDT,ML threshold=55%,34,2.8,47.1,-0.2,998.5,-0.6264,-0.0288,-0.4,6369,34,0.6176,0.5517
SOL/USDT,Sin ML (baseline),1478,123.2,62.9,176.3,2762.5,11.4765,4.2277,-1.6,0,1478,,
SOL/USDT,ML threshold=48%,1472,122.7,62.9,176.9,2768.7,11.4893,4.2316,-1.6,24,1472,0.6281,0.7715
SOL/USDT,ML threshold=52%,636,53.0,61.3,45.4,1453.9,6.3683,1.4548,-1.6,3841,636,0.4155,0.1106
SOL/USDT,ML threshold=55%,998,83.2,65.3,132.7,2327.2,10.5102,3.3465,-1.4,2069,998,0.6519,0.7893
BNB/USDT,Sin ML (baseline),1492,124.3,61.9,168.4,2684.2,11.3325,4.4164,-1.5,0,1492,,
BNB/USDT,ML threshold=48%,1469,122.4,62.2,171.9,2719.2,11.3297,4.3507,-1.5,82,1469,0.6219,0.7669
BNB/USDT,ML threshold=52%,406,33.8,60.6,25.1,1250.5,5.0648,0.9992,-1.1,4826,406,0.6074,0.7558
BNB/USDT,ML threshold=55%,189,15.8,61.9,7.0,1070.2,2.6406,0.2974,-1.1,5708,189,0.5745,0.5652
XAUT/USDT,Sin ML (baseline),1498,124.8,62.4,179.7,2796.6,11.8654,4.7061,-1.6,0,1498,,
XAUT/USDT,ML threshold=48%,1082,90.2,62.0,98.5,1984.8,9.798,3.1207,-1.6,1893,1082,0.6207,0.766
XAUT/USDT,ML threshold=52%,886,73.8,62.0,77.0,1769.8,8.7407,2.5093,-1.6,2776,886,0.6203,0.7657
XAUT/USDT,ML threshold=55%,133,11.1,56.4,2.3,1022.8,1.699,0.1721,-0.8,6162,133,0.5188,0.5152
LINK/USDT,Sin ML (baseline),1482,123.5,62.7,187.2,2872.5,11.3308,4.5165,-2.4,0,1482,,
LINK/USDT,ML threshold=48%,1481,123.4,62.8,188.1,2881.2,11.3589,4.5233,-2.4,1,1481,0.6275,0.7711
LINK/USDT,ML threshold=52%,530,44.2,62.1,36.2,1361.7,5.8111,1.2715,-2.2,4240,530,0.4083,0.1471
LINK/USDT,ML threshold=55%,268,22.3,65.3,20.6,1205.9,4.6672,0.6838,-1.7,5382,268,0.397,0.2069
