pair,tf,config,trades,winrate,pnl,sharpe,sortino,max_dd,calmar
BTCUSDT,1d,Base (w=5),11,0.0909,-0.3465,-1.7728,-1.5443,-0.3325,-0.6634
BTCUSDT,1d,Pine Internal,11,0.0909,-0.3465,-1.7728,-1.5443,-0.3325,-0.6634
BTCUSDT,1d,Pine Swing (w=50),0,0.0,0.0,0.0,0.0,0.0,0.0
BTCUSDT,1d,Pine Full,0,0.0,0.0,0.0,0.0,0.0,0.0
ETHUSDT,1d,Base (w=5),11,0.1818,-0.2771,-1.1007,-1.0261,-0.3545,-0.5276
ETHUSDT,1d,Pine Internal,11,0.1818,-0.2771,-1.1007,-1.0261,-0.3545,-0.5276
ETHUSDT,1d,Pine Swing (w=50),0,0.0,0.0,0.0,0.0,0.0,0.0
ETHUSDT,1d,Pine Full,0,0.0,0.0,0.0,0.0,0.0,0.0
XRPUSDT,1d,Base (w=5),11,0.1818,-0.3054,-0.9903,-0.689,-0.4008,-0.5209
XRPUSDT,1d,Pine Internal,11,0.1818,-0.3054,-0.9903,-0.689,-0.4008,-0.5209
XRPUSDT,1d,Pine Swing (w=50),0,0.0,0.0,0.0,0.0,0.0,0.0
XRPUSDT,1d,Pine Full,0,0.0,0.0,0.0,0.0,0.0,0.0
SOLUSDT,1d,Base (w=5),11,0.1818,-0.3156,-1.1063,-1.0589,-0.3936,-0.5382
SOLUSDT,1d,Pine Internal,11,0.1818,-0.3156,-1.1063,-1.0589,-0.3936,-0.5382
SOLUSDT,1d,Pine Swing (w=50),0,0.0,0.0,0.0,0.0,0.0,0.0
SOLUSDT,1d,Pine Full,0,0.0,0.0,0.0,0.0,0.0,0.0
BTCUSDT,4h,Base (w=5),88,0.4091,0.8428,1.4459,1.3447,-0.3236,2.9999
BTCUSDT,4h,Pine Internal,88,0.4091,0.8428,1.4459,1.3447,-0.3236,2.9999
BTCUSDT,4h,Pine Swing (w=50),50,0.6,1.3674,2.8493,2.2127,-0.1094,22.993
BTCUSDT,4h,Pine Full,50,0.6,1.3674,2.8493,2.2127,-0.1094,22.993
ETHUSDT,4h,Base (w=5),89,0.4045,0.8854,1.2671,1.1629,-0.4611,1.9862
ETHUSDT,4h,Pine Internal,89,0.4045,0.8854,1.2671,1.1629,-0.4611,1.9862
ETHUSDT,4h,Pine Swing (w=50),50,0.6,1.7687,3.0858,2.0249,-0.1077,37.299
ETHUSDT,4h,Pine Full,50,0.6,1.7687,3.0858,2.0249,-0.1077,37.299
XRPUSDT,4h,Base (w=5),90,0.4111,1.1236,1.247,1.2157,-0.5447,1.9968
XRPUSDT,4h,Pine Internal,90,0.4111,1.1236,1.247,1.2157,-0.5447,1.9968
XRPUSDT,4h,Pine Swing (w=50),61,0.5902,2.58,3.15,2.3425,-0.1681,51.3149
XRPUSDT,4h,Pine Full,61,0.5902,2.58,3.15,2.3425,-0.1681,51.3149
SOLUSDT,4h,Base (w=5),89,0.4157,1.0744,1.3368,1.2903,-0.5038,2.2802
SOLUSDT,4h,Pine Internal,89,0.4157,1.0744,1.3368,1.2903,-0.5038,2.2802
SOLUSDT,4h,Pine Swing (w=50),54,0.5926,1.9763,2.9334,2.4592,-0.1205,40.0276
SOLUSDT,4h,Pine Full,54,0.5926,1.9763,2.9334,2.4592,-0.1205,40.0276
BTCUSDT,1h,Base (w=5),324,0.4599,2.404,2.2131,2.0739,-0.441,11.8792
BTCUSDT,1h,Pine Internal,324,0.4599,2.404,2.2131,2.0739,-0.441,11.8792
BTCUSDT,1h,Pine Swing (w=50),201,0.592,4.9273,5.2031,4.0235,-0.2973,298.1269
BTCUSDT,1h,Pine Full,201,0.592,4.9273,5.2031,4.0235,-0.2973,298.1269
ETHUSDT,1h,Base (w=5),329,0.4468,2.9756,2.2553,1.9161,-0.4477,16.6478
ETHUSDT,1h,Pine Internal,329,0.4468,2.9756,2.2553,1.9161,-0.4477,16.6478
ETHUSDT,1h,Pine Swing (w=50),199,0.5879,5.6397,4.9273,4.6105,-0.3509,425.9322
ETHUSDT,1h,Pine Full,199,0.5879,5.6397,4.9273,4.6105,-0.3509,425.9322
XRPUSDT,1h,Base (w=5),333,0.4474,3.5255,2.1065,1.8745,-0.545,14.4219
XRPUSDT,1h,Pine Internal,333,0.4474,3.5255,2.1065,1.8745,-0.545,14.4219
XRPUSDT,1h,Pine Swing (w=50),191,0.5602,6.4661,4.5698,3.8389,-0.5994,413.9909
XRPUSDT,1h,Pine Full,191,0.5602,6.4661,4.5698,3.8389,-0.5994,413.9909
SOLUSDT,1h,Base (w=5),334,0.4431,3.1949,2.1318,1.8692,-0.5217,13.9485
SOLUSDT,1h,Pine Internal,334,0.4431,3.1949,2.1318,1.8692,-0.5217,13.9485
SOLUSDT,1h,Pine Swing (w=50),199,0.5678,6.1103,4.7328,4.2387,-0.4445,456.496
SOLUSDT,1h,Pine Full,199,0.5678,6.1103,4.7328,4.2387,-0.4445,456.496
