par,config,trades,winrate,compuesto,final_eur,sharpe,sortino,max_dd,avg_frac
BTC/USDT,PineSwing-Fixed,121,65.3,300.6,4006.1,3.9562,1.1521,-7.6,0.02
BTC/USDT,PineSwing-HK,121,65.3,27.0,1269.6,3.679,0.8347,-1.6,0.170758
BTC/USDT,PineSwing-QK,121,65.3,13.0,1129.5,3.728,0.867,-0.8,0.087032
BTC/USDT,MTF-HK,326,54.6,30.3,1303.4,3.4923,1.3386,-3.8,0.127255
BTC/USDT,Confluence-HK,239,54.4,28.7,1286.6,3.104,0.9369,-3.8,0.15001
BTC/USDT,Portfolio-HK,233,56.2,28.3,1283.4,0.5449,0.1618,-3.5,0.151218
ETH/USDT,PineSwing-Fixed,101,55.5,104.3,2043.4,2.1339,0.5014,-15.1,0.02
ETH/USDT,PineSwing-HK,101,55.5,6.9,1068.9,1.8636,0.3332,-2.2,0.084599
ETH/USDT,PineSwing-QK,101,55.5,3.4,1034.3,1.8518,0.3433,-1.1,0.044438
ETH/USDT,MTF-HK,312,55.8,27.3,1272.7,4.054,1.5188,-2.9,0.089708
ETH/USDT,Confluence-HK,246,53.2,9.4,1093.8,2.2695,0.6574,-3.3,0.064859
ETH/USDT,Portfolio-HK,238,53.8,9.9,1099.3,0.3785,0.108,-3.7,0.071045
SOL/USDT,PineSwing-Fixed,104,67.3,328.6,4285.8,4.4218,1.0192,-8.6,0.02
SOL/USDT,PineSwing-HK,104,67.3,38.5,1385.2,3.8698,0.7686,-2.5,0.219723
SOL/USDT,PineSwing-QK,104,67.3,19.5,1194.8,3.9245,0.8028,-1.2,0.117234
SOL/USDT,MTF-HK,341,58.7,51.4,1513.8,4.2532,1.8429,-4.0,0.152556
SOL/USDT,Confluence-HK,262,63.7,55.5,1554.8,4.6959,1.623,-3.9,0.15897
SOL/USDT,Portfolio-HK,259,60.2,32.9,1329.3,0.6064,0.1852,-4.2,0.133305
BNB/USDT,PineSwing-Fixed,133,67.7,436.9,5368.6,4.3453,1.0382,-13.1,0.02
BNB/USDT,PineSwing-HK,133,67.7,37.9,1379.2,3.6038,0.7111,-3.3,0.211924
BNB/USDT,PineSwing-QK,133,67.7,18.5,1185.0,3.6644,0.7228,-1.7,0.110118
BNB/USDT,MTF-HK,334,59.6,40.1,1400.9,3.6669,1.5495,-4.1,0.14948
BNB/USDT,Confluence-HK,272,62.1,58.7,1587.3,3.9505,1.3896,-6.1,0.202886
BNB/USDT,Portfolio-HK,263,62.4,51.7,1516.9,0.6417,0.2141,-6.3,0.192497
XAUT/USDT,PineSwing-Fixed,108,59.3,168.0,2679.7,2.9186,0.5429,-13.6,0.02
XAUT/USDT,PineSwing-HK,108,59.3,16.3,1163.5,2.767,0.5175,-2.5,0.151338
XAUT/USDT,PineSwing-QK,108,59.3,8.1,1081.0,2.8144,0.5355,-1.3,0.077521
XAUT/USDT,MTF-HK,327,55.0,26.4,1264.0,3.164,1.2741,-3.2,0.134836
XAUT/USDT,Confluence-HK,252,56.8,11.9,1119.2,2.2399,0.6147,-3.0,0.098884
XAUT/USDT,Portfolio-HK,245,58.0,15.0,1150.1,0.432,0.1234,-3.5,0.107931
LINK/USDT,PineSwing-Fixed,105,68.6,300.7,4006.6,4.2954,1.0099,-11.0,0.02
LINK/USDT,PineSwing-HK,105,68.6,31.8,1317.9,4.055,0.9425,-1.5,0.184755
LINK/USDT,PineSwing-QK,105,68.6,15.1,1150.8,4.0984,0.9739,-0.7,0.094282
LINK/USDT,MTF-HK,326,56.1,26.4,1264.3,3.1203,1.1575,-3.0,0.138978
LINK/USDT,Confluence-HK,239,56.1,9.1,1091.0,1.76,0.4318,-2.7,0.101013
LINK/USDT,Portfolio-HK,235,57.0,11.0,1110.3,0.3358,0.083,-2.5,0.107588
