rank,total_pnl,winrate,profit_factor,trades,swing_window,max_hold,require_fvg,use_choch_filter
1,0.115,0.5714,1.676,14,3,5,False,True
2,0.1133,0.6667,4.8437,3,5,20,True,True
3,0.1133,0.6667,4.8437,3,5,20,False,True
4,0.1133,0.6667,4.8437,3,7,20,True,True
5,0.1133,0.6667,4.8437,3,7,20,False,True
6,0.1133,0.6667,4.8437,3,10,20,True,True
7,0.1133,0.6667,4.8437,3,10,20,False,True
8,0.0848,0.6667,1.9065,9,7,5,False,True
9,0.0848,0.6667,1.9065,9,10,5,False,True
10,0.0816,0.8,2.3563,5,7,10,False,True
11,0.0816,0.8,2.3563,5,10,10,False,True
12,0.07,0.6,1.6468,10,7,5,False,False
13,0.07,0.6,1.6468,10,10,5,False,False
14,0.0669,0.6667,2.8225,3,5,30,False,True
15,0.0669,0.6667,2.8225,3,7,30,False,True
16,0.0669,0.6667,2.8225,3,10,30,False,True
17,0.0576,0.5333,1.2531,15,3,5,False,False
18,0.0566,0.625,1.6053,8,5,5,False,True
19,0.0529,0.6,1.6499,5,5,10,False,True
20,0.0495,0.6667,1.9155,3,15,30,False,False
21,0.0302,0.5,1.2685,4,7,20,True,False
22,0.0302,0.5,1.2685,4,7,20,False,False
23,0.0302,0.5,1.2685,4,10,20,True,False
24,0.0302,0.5,1.2685,4,10,20,False,False
25,0.0202,0.5,1.232,4,5,10,True,True
26,0.0128,0.5,1.1411,4,7,30,False,False
27,0.0128,0.5,1.1411,4,10,30,False,False
28,0.0112,0.3333,1.1539,3,15,15,False,True
29,0.0106,0.6667,1.1481,6,5,5,True,True
30,0.0079,0.6,1.1,5,15,5,False,True
31,0.007,0.5,1.0408,4,5,15,True,True
32,0.007,0.5,1.0408,4,7,15,True,True
33,0.007,0.5,1.0408,4,10,15,True,True
34,0.0049,0.6667,1.081,3,15,10,False,True
35,0.0029,0.4,1.0275,5,7,10,True,True
36,0.0029,0.4,1.0275,5,10,10,True,True
37,0.0016,0.3636,1.0074,11,3,10,False,True
38,-0.0014,0.3333,0.9634,3,5,30,True,True
39,-0.0014,0.3333,0.9634,3,7,30,True,True
40,-0.0014,0.3333,0.9634,3,10,30,True,True
41,-0.0029,0.6667,0.9798,6,7,10,False,False
42,-0.0029,0.6667,0.9798,6,10,10,False,False
43,-0.0068,0.5714,0.9236,7,7,5,True,True
44,-0.0068,0.5714,0.9236,7,10,5,True,True
45,-0.0069,0.5,0.9261,6,15,5,False,False
46,-0.0142,0.4,0.9264,5,5,15,False,True
47,-0.0142,0.4,0.9264,5,7,15,False,True
48,-0.0142,0.4,0.9264,5,10,15,False,True
49,-0.0142,0.4,0.9115,10,3,5,True,True
50,-0.0188,0.3333,0.6663,3,15,30,True,False
51,-0.0201,0.3333,0.7413,3,15,10,True,True
52,-0.0215,0.5,0.792,8,7,5,True,False
53,-0.0215,0.5,0.792,8,10,5,True,False
54,-0.0324,0.5,0.8225,10,5,5,False,False
55,-0.0415,0.3333,0.6692,3,15,15,True,False
56,-0.044,0.4,0.7643,5,5,20,True,False
57,-0.044,0.4,0.7643,5,5,20,False,False
58,-0.0479,0.3333,0.5744,3,15,20,True,False
59,-0.0479,0.3333,0.5744,3,15,20,False,False
60,-0.0555,0.25,0.4035,4,7,30,True,False
61,-0.0555,0.25,0.4035,4,10,30,True,False
62,-0.0585,0.25,0.7454,8,3,10,True,True
63,-0.0614,0.4,0.6278,5,5,30,False,False
64,-0.0627,0.25,0.5726,4,15,15,False,False
65,-0.0669,0.4,0.7273,5,7,15,True,False
66,-0.0669,0.4,0.7273,5,10,15,True,False
67,-0.068,0.25,0.2336,4,15,5,True,True
68,-0.0716,0.3636,0.6718,11,3,5,True,False
69,-0.0749,0.375,0.7389,8,3,20,True,True
70,-0.0784,0.5,0.5112,8,5,5,True,False
71,-0.0797,0.5,0.4495,4,15,10,False,False
72,-0.0817,0.3333,0.5682,6,7,10,True,False
73,-0.0817,0.3333,0.5682,6,10,10,True,False
74,-0.0828,0.2,0.2004,5,15,5,True,False
75,-0.0859,0.25,0.7113,8,3,15,True,True
76,-0.0861,0.3333,0.725,9,3,20,False,True
77,-0.0881,0.3333,0.6695,6,7,15,False,False
78,-0.0881,0.3333,0.6695,6,10,15,False,False
79,-0.0916,0.2222,0.7134,9,3,15,False,True
80,-0.1046,0.25,0.3546,4,15,10,True,False
81,-0.1059,0.4286,0.559,7,5,10,False,False
82,-0.1118,0.3333,0.6535,12,3,10,False,False
83,-0.1297,0.2,0.2245,5,5,30,True,False
84,-0.1386,0.3333,0.4369,6,5,10,True,False
85,-0.1412,0.3333,0.5584,6,5,15,True,False
86,-0.1522,0.3333,0.5821,9,3,20,True,False
87,-0.1623,0.2857,0.5237,7,5,15,False,False
88,-0.1634,0.3,0.5815,10,3,20,False,False
89,-0.1638,0.1429,0.4365,7,3,30,False,True
90,-0.1718,0.2222,0.4992,9,3,10,True,False
91,-0.1894,0.1429,0.3768,7,3,30,True,True
92,-0.1933,0.2222,0.5227,9,3,15,True,False
93,-0.199,0.2,0.5339,10,3,15,False,False
94,-0.2143,0.25,0.3259,8,3,30,False,False
95,-0.2826,0.125,0.1173,8,3,30,True,False
96,0.0324,0.5,1.6271,2,15,15,True,True
97,0.0352,0.5,2.1933,2,15,20,True,True
98,0.0352,0.5,2.1933,2,15,20,False,True
99,0.0353,0.5,16.5336,2,15,30,True,True
100,0.1036,1.0,inf,2,15,30,False,True
