name,net_sharpe,net_pct,gross_pct,fee_pct,winrate,pf,max_dd,t_month,calmar,frac_pct
BASE·MTF_sw3,5.166,112.83,144.62,31.8,48.3,1.88,-3.5,47.9,41.4,27.3
REG[light]·MTF_sw3,5.053,108.44,138.7,30.26,48.4,1.89,-3.4,45.5,39.35,27.3
REG[standard]·MTF_sw3,4.525,88.31,113.82,25.52,48.4,1.89,-3.6,37.7,30.65,27.8
REG[strict]·MTF_sw3,4.005,67.94,88.45,20.51,49.1,1.95,-3.2,28.6,27.62,29.5
TRAIL·REG[light]·MTF_sw3,5.667,97.85,144.4,46.55,63.0,3.81,-3.2,80.0,46.59,23.9
TRAIL·REG[standard]·MTF_sw3,4.873,71.07,109.96,38.88,62.9,3.79,-3.6,66.4,31.58,24.1
BASE·MTF_sw5,4.763,98.39,128.25,29.85,48.0,1.85,-2.9,45.1,41.12,27.2
REG[light]·MTF_sw5,4.724,95.94,124.82,28.87,48.2,1.87,-3.0,43.3,39.1,27.4
REG[standard]·MTF_sw5,4.336,79.37,104.5,25.12,48.4,1.88,-3.3,37.1,29.55,27.8
REG[strict]·MTF_sw5,4.086,71.86,93.31,21.45,49.5,1.97,-3.6,29.3,26.76,30.1
TRAIL·REG[light]·MTF_sw5,5.882,103.78,150.25,46.47,63.3,3.85,-3.1,78.9,48.57,24.2
TRAIL·REG[standard]·MTF_sw5,5.475,85.5,125.99,40.48,63.6,3.92,-2.9,67.7,41.94,24.6
BASE·AdaptMTF,4.831,102.07,132.28,30.21,48.2,1.86,-2.9,45.0,42.47,27.6
REG[light]·AdaptMTF,4.773,98.75,127.9,29.14,48.4,1.88,-3.0,43.2,39.93,27.7
REG[standard]·AdaptMTF,4.384,81.6,106.95,25.35,48.6,1.89,-3.3,37.0,30.93,28.2
REG[strict]·AdaptMTF,4.157,74.52,96.19,21.67,49.7,1.99,-3.6,29.2,27.2,30.5
TRAIL·REG[light]·AdaptMTF,5.941,105.94,152.53,46.59,63.4,3.86,-3.2,78.7,48.79,24.3
TRAIL·REG[standard]·AdaptMTF,5.535,87.33,127.92,40.59,63.6,3.94,-3.0,67.6,42.53,24.7
BASE·MA300/1000,0.823,-1.42,0.39,1.81,30.2,1.09,-1.2,14.0,0.02,5.3
REG[light]·MA300/1000,2.496,-1.32,0.17,1.49,30.5,1.09,-1.1,12.4,-0.1,5.0
REG[standard]·MA300/1000,-4.447,-0.77,-0.06,0.71,35.7,1.13,-0.9,4.9,-0.1,6.0
REG[strict]·MA300/1000,-1.254,-0.54,-0.21,0.33,36.7,1.19,-0.7,2.9,-0.32,4.7
TRAIL·REG[light]·MA300/1000,-4.248,-5.83,-1.1,4.72,47.1,1.9,-2.9,17.9,-0.2,10.8
TRAIL·REG[standard]·MA300/1000,-4.824,-2.07,-0.24,1.83,50.6,1.96,-2.1,7.6,-0.1,9.8
BASE·EMAStack,0.073,-0.09,0.42,0.51,35.8,1.16,-0.8,4.0,0.29,5.2
REG[light]·EMAStack,0.247,-0.17,0.32,0.48,35.0,1.13,-0.8,3.8,0.18,5.2
REG[standard]·EMAStack,-1.996,-0.53,-0.16,0.37,36.0,1.18,-0.7,3.0,-0.2,5.1
REG[strict]·EMAStack,-1.489,-0.25,-0.06,0.18,37.0,1.25,-0.4,2.2,-0.01,3.4
TRAIL·REG[light]·EMAStack,-4.096,-1.38,-0.21,1.17,49.6,1.96,-1.6,5.7,-0.13,8.4
TRAIL·REG[standard]·EMAStack,-2.245,-1.24,-0.33,0.91,50.0,1.91,-1.3,4.5,-0.3,8.3
BASE·GoldCross,-2.127,-0.62,-0.2,0.42,32.8,1.01,-0.6,3.9,-0.43,4.5
REG[light]·GoldCross,-2.535,-0.49,-0.12,0.37,32.2,1.0,-0.5,3.6,-0.39,4.2
REG[standard]·GoldCross,-4.114,-0.32,-0.03,0.29,33.2,1.08,-0.5,2.6,-0.07,4.5
REG[strict]·GoldCross,-1.619,-0.2,-0.07,0.14,32.4,1.06,-0.3,1.9,-0.13,2.9
TRAIL·REG[light]·GoldCross,-3.01,-0.92,-0.24,0.68,47.9,1.73,-0.7,5.4,-0.43,5.2
TRAIL·REG[standard]·GoldCross,7.947,-0.52,0.03,0.55,47.3,1.81,-0.6,3.9,0.23,5.8
BASE·DynamicMA,2.112,-0.33,0.08,0.41,34.2,1.09,-0.8,3.2,-0.26,5.2
REG[light]·DynamicMA,0.29,-0.14,0.21,0.35,34.2,1.1,-0.6,3.0,-0.07,4.7
REG[standard]·DynamicMA,0.082,-0.03,0.16,0.19,35.4,1.17,-0.4,2.0,0.01,4.0
REG[strict]·DynamicMA,-0.114,0.13,0.25,0.12,34.2,1.16,-0.2,1.6,0.55,3.1
TRAIL·REG[light]·DynamicMA,9.343,-0.85,0.05,0.9,50.0,1.89,-1.1,4.6,0.11,8.1
TRAIL·REG[standard]·DynamicMA,0.044,-0.06,0.49,0.55,50.5,2.18,-0.8,3.1,0.41,7.3
